TIMECLOUD_ACCESSLOG	      | 	1|V_URL 			|VARCHAR2												   |	    500|Y
TIMECLOUD_ACCESSLOG	      | 	2|N_OWNER_IDX			|NUMBER 												   |	     22|Y
TIMECLOUD_ACCESSLOG	      | 	3|V_ACCESS_DATETIME		|VARCHAR2												   |	     14|Y
TIMECLOUD_ACCESSLOG	      | 	4|V_AGENT			|VARCHAR2												   |	   3000|Y
TIMECLOUD_ACCESSLOG	      | 	5|N_DOMAIN_IDX			|NUMBER 												   |	     22|Y
TIMECLOUD_ACTIVITY	      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_ACTIVITY	      | 	2|N_TASK_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_ACTIVITY	      | 	3|V_DESC			|VARCHAR2												   |	    400|N
TIMECLOUD_ACTIVITY	      | 	4|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_ACTIVITY	      | 	5|V_EDT_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_ACTIVITY	      | 	6|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_ACTIVITY	      | 	7|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_ACTIVITY	      | 	8|V_START_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_ACTIVITY	      | 	9|V_END_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_ACTIVITY	      |        10|C_OFF_YN			|CHAR													   |	      1|N
TIMECLOUD_ACTIVITY	      |        11|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_DOMAIN	      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_DOMAIN	      | 	2|V_NAME			|VARCHAR2												   |	     50|N
TIMECLOUD_DOMAIN	      | 	3|C_OFF_YN			|CHAR													   |	      1|N
TIMECLOUD_DOMAIN	      | 	4|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_DOMAIN	      | 	5|V_REG_DATETIME		|VARCHAR2												   |	     14|Y
TIMECLOUD_DOMAIN	      | 	6|V_EDT_DATETIME		|VARCHAR2												   |	     14|Y
TIMECLOUD_DOMAIN_USER	      | 	1|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_DOMAIN_USER	      | 	2|N_USER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_FAVORITE	      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_FAVORITE	      | 	2|V_DESC			|VARCHAR2												   |	   4000|N
TIMECLOUD_FAVORITE	      | 	3|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_FAVORITE	      | 	4|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_FAVORITE	      | 	5|V_TBL_NM			|VARCHAR2												   |	     50|N
TIMECLOUD_FAVORITE	      | 	6|N_TBL_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_FAVORITE	      | 	7|N_TASK_IDX			|NUMBER 												   |	     22|Y
TIMECLOUD_FAVORITE	      | 	8|N_SORT			|NUMBER 												   |	     22|N
TIMECLOUD_FAVORITE	      | 	9|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_FEEDBACK	      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_FEEDBACK	      | 	2|V_DESC			|VARCHAR2												   |	   4000|N
TIMECLOUD_FEEDBACK	      | 	3|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_FEEDBACK	      | 	4|C_DEL_YN			|CHAR													   |	      1|N
